sku;keyword;sessions;users;impressions;clicks;detail;add_from_impressions;add_from_detail;avail_01;avail_02
78464;кабель;1378;1075;1995;23;26;2;14;;
40852;полипропилен;230;213;299;1;1;0;0;;
32126;газобетон;845;539;1356;4;4;0;0;;
50674;гофра;2693;2160;3743;24;23;9;2;;
25533;брус;370;324;423;0;0;0;0;;
236137;стекловата;397;252;641;1;1;0;0;;
454137;смеситель для кухни;973;703;1858;6;6;0;0;;
40827;труба 40;135;118;160;0;0;0;0;;
232087;сетка;9030;6587;13337;94;105;9;4;;
45663;дымоход;1398;988;2227;62;79;18;8;;
66839;головка;174;160;203;0;0;0;0;;
133019;антиплесень;261;186;405;0;0;0;0;;
51298;труба 100;177;138;220;0;0;0;0;;
56838;талреп;182;151;252;13;12;9;1;;
103030;радиатор;1275;954;1972;34;27;1;4;;
152702;правило;205;175;293;2;2;0;0;;
42084;электрокотел;471;290;906;10;12;0;1;;
473457;краска;334;317;444;2;2;0;0;;
215468;панель;375;303;505;0;0;0;0;;
50567;угол наружный;142;120;201;1;2;0;0;;
56201;угольник;200;184;269;0;0;0;0;;
127605;пвх;143;138;157;0;0;0;0;;
233197;саморезы;2554;2205;3507;8;9;2;3;;
246625;накопительный нагреватель;16;3;48;0;0;0;0;;
114067;кран шаровый;1403;1159;1925;13;15;1;4;;
72304;труба 20;294;246;372;2;2;0;0;;
1606;клей;999;858;1310;0;0;0;0;;
83644;электроды;2887;2140;4356;19;22;5;0;;
237886;смеситель;212;183;271;0;0;0;0;;
479852;замок;826;711;1051;0;0;0;0;;
42907;кран шаровый;873;762;1178;1;1;0;0;;
119218;профиль;166;159;198;0;0;0;0;;
40594;кран шаровый 3/4;139;120;201;0;0;0;0;;
50220;масло;970;760;1422;7;7;0;0;;
123774;лино;168;138;271;1;1;0;0;;
449741;плиточный клей;736;458;1439;5;5;0;0;;
473259;краска для пола;116;107;182;0;0;0;0;;
447848;тройник;294;279;337;0;0;0;0;;
65202;пена;3830;2925;5537;0;1;5;0;;
468215;розетки;857;692;1363;9;11;12;2;;
463783;прокат инструмента;151;133;183;0;0;0;0;;
489472;сваи;228;208;268;0;0;0;0;;
10071;цемент;208;197;259;0;0;0;0;;
58685;унитаз;3495;2613;6053;17;17;3;2;;
53518;водосток;1251;959;1920;4;4;1;2;;
97585;дюбель;2311;1973;2954;10;10;7;1;;
50519;фреза;336;252;515;0;0;0;0;;
464637;бур;165;151;207;0;0;0;0;;
70486;тройник;897;794;1108;4;4;0;0;;
470668;стяжка пола;222;165;313;0;0;0;0;;
53781;профил;172;132;243;0;0;0;0;;
127375;профиль кнауф;720;474;1007;0;0;0;0;;
24064;удленитель;267;226;408;6;9;0;1;;
67919;утеплитель для труб;438;335;708;1;1;0;0;;
14462;лейка;492;395;687;8;7;2;1;;
230969;краска;905;805;1327;6;6;0;1;;
242945;стакан;120;109;140;0;0;0;0;;
3990;tikkurila;436;352;639;2;2;1;1;;
44830;труба;93;84;110;0;0;0;0;;
11505;конек;871;651;1307;34;39;2;8;;
463305;болт;270;263;317;1;1;0;0;;
489206;доска 50;371;281;541;8;7;0;0;;
69441;кирпич;177;131;302;0;0;0;0;;
325258;раковина;390;318;520;2;2;0;0;;
453912;пропитка;150;133;188;0;0;0;0;;
454323;цемент 25 кг;134;110;184;0;0;0;0;;
53976;профиль;2024;1701;2492;3;3;0;0;;
58745;утеплитель;5878;4501;9436;23;29;4;5;;
135585;диск отрезной;276;245;389;3;3;0;0;;
473476;неомид;126;113;151;1;1;0;0;;
391536;плинтус;232;225;252;0;0;0;0;;
449965;ванна;2396;1646;3932;19;21;0;0;;
146201;цилиндровый механизм;253;199;373;3;3;0;1;;
448806;уголок;2041;1827;2431;13;14;1;3;;
148243;краска акриловая;332;280;544;0;0;0;0;;
127720;жалюзи;670;552;940;7;7;6;1;;
133947;блок;54;48;60;0;0;0;0;;
64924;автомат;538;437;756;0;0;0;0;;
402448;клей для линолеума;57;48;94;0;0;0;0;;
10108;cerezit;111;94;136;0;0;0;0;;
22969;щит мебельный;903;616;1180;22;24;10;3;;
130482;утеплитель;715;543;1187;4;3;1;0;;
159917;краска марта;312;255;456;0;0;0;0;;
40802;утеплитель для труб;391;293;632;0;0;0;0;;
408469;плинтус напольный;504;412;710;2;2;0;0;;
41462;трубная изоляция;335;246;552;0;0;4;0;;
138588;кабель;3444;2666;4848;18;20;5;5;;
5570;момент монтаж;116;86;166;2;3;1;0;;
15068;бетон;188;169;224;0;0;0;0;;
447424;шестигранник;393;366;488;0;0;0;0;;
479808;водонагреватель;439;351;689;4;5;1;0;;
146764;кронштейн;218;164;309;8;8;2;1;;
15164;лак по дереву;112;93;178;0;0;0;0;;
29846;уголок крепежный;1358;1071;1929;20;19;8;5;;
49274;утеплитель;1104;960;1383;0;0;0;0;;
19138;утеплитель;1477;995;2757;0;0;0;0;;
151826;плинтус;863;791;988;0;0;0;0;;
2849;кирпич;5714;3362;10267;23;30;8;5;;
320222;форма;90;78;102;0;0;0;0;;
28841;утеплитель;5242;3725;7893;0;0;0;0;;
58351;дюбель;3138;2544;4076;17;18;3;0;;
431765;gfytkb;12;4;14;0;0;0;0;;
51769;глина;459;349;690;6;7;0;0;;
108219;плитка настенная;147;109;217;0;0;0;0;;
84856;магнит;349;274;423;0;0;0;0;;
40107;твинблок;405;269;617;7;7;2;0;;
40620;пол;235;207;261;0;0;0;0;;
3769;стяжка для пола;565;349;901;3;3;0;0;;
149459;порожек;164;143;285;1;1;0;0;;
184655;пена;82;73;119;1;1;2;0;;
13204;сетка садовая;100;69;118;43;37;0;5;;
42543;утеплитель для труб;206;153;328;2;2;0;0;;
40365;knauf;264;226;368;0;0;0;0;;
64443;трубы;510;434;648;1;1;0;0;;
172429;обои;1028;991;1081;0;0;0;0;;
119507;удлинитель;1145;885;1615;3;3;0;0;;
152762;труба;615;578;669;0;0;0;0;;
151884;плинтус;717;658;796;0;0;0;0;;
65529;кусачки;207;188;266;8;8;1;0;;
403506;вагонка;6424;4031;10459;7;7;0;0;;
61455;прокладка;951;736;1415;8;9;0;0;;
124282;твинблок;1041;662;1675;41;40;3;4;;
436310;плитка;1916;1533;3009;5;5;1;0;;
450598;фанера;1034;789;1422;2;3;4;7;;
153361;узо;490;390;731;0;0;0;0;;
452808;дрель;606;480;1046;6;6;0;0;;
109428;кирпич;94;89;112;0;0;0;0;;
140424;краска;5924;4821;8306;33;35;9;3;;
136685;двери;77;74;88;0;0;0;0;;
491129;липа;278;195;399;0;0;0;0;;
56664;болт м8;201;169;326;2;2;0;0;;
11804;бассейн;200;180;240;0;0;0;0;;
16372;эмаль;231;201;277;0;0;0;0;;
405127;линол;58;53;108;1;1;0;0;;
221809;крышка;112;100;134;0;0;0;0;;
473481;гипсокартон влагостойкий;134;101;193;0;0;0;0;;
123774;линолеум;2614;1931;4013;30;26;5;0;;
11032;уголок штукатурный;128;95;209;3;3;2;0;;
159909;ручка для валика;198;181;283;2;2;0;0;;
69881;фильтр;522;436;708;3;4;0;0;;
53518;труба водосточная;310;227;604;2;2;0;0;;
9999;квадрат;72;59;86;0;0;0;0;;
15415;краска лакра;201;172;283;0;0;0;0;;
480496;плитка керамогранит;157;129;253;0;0;0;0;;
153958;смеситель для кухни;395;337;622;0;0;0;0;;
4679;краска пф;144;120;199;1;1;0;0;;
3557;фасадная сетка;163;127;239;8;8;0;1;;
64480;радиатор;286;248;344;0;0;0;0;;
2214;краска для потолка;275;176;578;6;6;0;1;;
51803;угольник;406;359;547;5;5;2;0;;
5890;эмаль для радиаторов;312;234;481;27;33;4;7;;
448622;сайдинг виниловый;257;153;513;0;0;0;0;;
127274;доборы дверные;16;4;19;0;0;0;0;;
13118;лопата;1952;1377;2923;83;95;45;20;;
196146;обои;110;108;125;0;0;0;0;;
405031;линол;229;191;330;4;5;0;2;;
12397;пазогребневая плита;262;188;489;18;21;0;8;;
247004;труба;265;244;318;0;0;0;0;;
6922;силиконовый герметик;286;198;518;1;1;0;0;;
72650;хомут;2540;2144;3336;12;14;7;1;;
116582;плинтус;109;103;121;0;0;0;0;;
3742;краска по металлу;932;735;1442;4;5;0;1;;
50337;газ;159;139;190;0;0;0;0;;
113951;керамогранит;1461;1242;1987;0;0;0;0;;
917;шпаклевка;5911;4168;10230;44;46;5;8;;
481330;шуруповёрт;392;254;662;0;0;0;0;;
73341;колеса;205;167;273;10;8;0;0;;
36324;тротуарная плитка;220;134;323;2;2;0;0;;
2766;штукатурка цементная;206;171;359;0;0;0;0;;
451570;переход;403;336;515;12;12;0;0;;
15342;мягкая черепица;249;165;433;2;1;0;0;;
42005;насос;285;226;471;0;0;0;0;;
452690;труба;789;705;940;5;5;1;0;;
382578;уголок 100;183;149;242;0;0;0;0;;
19990;панели;1154;910;1695;6;4;0;0;;
151830;угол;242;236;253;0;0;0;0;;
456863;вата;1114;742;1928;10;9;0;0;;
52094;брусчатка;1180;784;2049;2;2;0;0;;
119191;подложка;397;349;491;0;0;0;0;;
107400;люк;584;447;847;9;10;0;0;;
167417;фасадные панели;183;105;298;9;9;0;0;;
76556;водоэмульсионная краска;160;104;244;0;0;0;0;;
66172;клей обойный;689;535;997;1;2;0;0;;
53170;битум;573;459;837;0;0;1;0;;
5451;шпатлевка;544;421;858;8;9;3;0;;
484460;полотенцесушитель;1172;773;2265;29;29;2;0;;
13074;кирпич силикатный;74;58;137;0;0;0;0;;
335857;коллектор;216;177;328;0;0;0;0;;
484445;брусчатка;676;441;1132;8;7;0;0;;
362205;шпатлёвка;472;372;710;5;6;0;1;;
46765;болт;563;503;740;3;4;0;0;;
62829;саморез универсальный;444;383;658;0;0;2;0;;
113947;коронка;2326;1803;3589;12;18;0;1;;
52093;доска;3064;2288;4173;0;0;0;0;;
55683;герметик для дерева;371;270;640;0;0;0;0;;
38104;линол;58;48;114;0;0;0;0;;
150042;эмаль белая;225;166;371;0;0;1;0;;
148931;отражающая теплоизоляция;397;285;763;12;10;0;3;;
72720;ламинат;2858;2007;4803;13;14;0;0;;
123464;уайт спирит;112;88;159;0;0;0;0;;
108557;перчатки;4547;3193;6834;52;53;12;9;;
13905;мкр;174;134;223;2;2;0;0;;
2045;кабель кг;297;237;404;0;0;0;0;;
127359;плинтус мдф;411;300;639;2;2;0;6;;
7408;дюбель для теплоизоляции;432;342;705;4;6;6;0;;
312062;штукатурка;250;206;372;2;3;0;0;;
34297;лак;78;69;96;1;1;0;0;;
56246;дерево;100;90;121;0;0;0;0;;
485926;брус;9276;6671;13006;2;2;0;0;;
5717;краска фасадная;86;61;131;0;0;0;0;;
473459;краска водоэмульсионная;144;123;185;0;0;0;0;;
51383;шуруп;1052;922;1365;3;3;6;0;;
214522;штукатурка;652;546;935;0;0;0;0;;
52449;bosch;337;282;473;0;0;0;0;;
151693;графит;214;147;235;0;0;0;0;;
9106;печь;182;152;253;0;0;0;0;;
487739;ивачев;11;3;187;4;5;0;0;;
478585;краска по металлу;537;433;821;2;2;0;0;;
464625;диск;559;482;745;0;0;0;0;;
91255;порожек;416;342;716;2;2;0;0;;
32214;клей для обоев;1144;911;1746;7;10;0;3;;
389296;кирпич полнотелый;518;313;1113;0;0;0;0;;
